behaviour,type,ratio
yoked,GFP neg,2.18
yoked,D2GFP,3.18
yoked,GFP neg,3.21
yoked,GFP neg,3.23
yoked,D2GFP,2.69
trained,D2GFP,4.4
trained,D2GFP,5.23
trained,GFP neg,6.13
trained,GFP neg,9.82
yoked,GFP neg,9.68
trained,D2GFP,2.63
trained,GFP neg,5.38
trained,D2GFP,2.62
trained,D2GFP,4.76
trained,GFP neg,4.34
trained,GFP neg,6.3
yoked,D2GFP,6.32
yoked,D2GFP,2.16
yoked,GFP neg,3.03
yoked,GFP neg,2.26
trained,GFP neg,2.3
yoked,GFP neg,2.37
trained,D2GFP,2.4
yoked,D2GFP,2.3
yoked,GFP neg,2.17
trained,D2GFP,2.03
trained,D2GFP,4.36
trained,GFP neg,9.35
yoked,D2GFP,3.1
yoked,GFP neg,3.27
yoked,GFP neg,2.86
trained,D2GFP,2.27
trained,D2GFP,4.89
trained,GFP neg,2.88
yoked,D2GFP,2.73
yoked,GFP neg,1.87
yoked,GFP neg,4.32
yoked,GFP neg,3.23
trained,D2GFP,2.18
trained,GFP neg,3.59
trained,GFP neg,5.66
trained,GFP neg,5.41
yoked,D2GFP,5.64
yoked,GFP neg,2.28
yoked,GFP neg,4.04
