animal,virus,exp,protocol,lever_min,mag_min,collect_time
132,hM4D,1,SF_Lever-Pellet_CRF,2.1,6.7,2.7
132,hM4D,2,SF_Lever-Pellet_RI 15,16.2,7.0,2.0
132,hM4D,3,SF_Lever-Pellet_RI 30,21.4,5.5,2.4
132,hM4D,4,SF_Lever-Pellet_RI 30_2,14.5,4.4,0.9
133,mCherry,1,SF_Lever-Pellet_CRF,1.4,5.9,1.8
133,mCherry,2,SF_Lever-Pellet_RI 15,14.4,7.7,2.4
133,mCherry,3,SF_Lever-Pellet_RI 30,26.0,6.1,2.7
133,mCherry,4,SF_Lever-Pellet_RI 30_2,34.4,6.0,1.1
134,hM4D,1,SF_Lever-Pellet_CRF,1.6,13.9,2.3
134,hM4D,2,SF_Lever-Pellet_RI 15,12.2,12.5,2.1
134,hM4D,3,SF_Lever-Pellet_RI 30,29.3,6.8,1.6
134,hM4D,4,SF_Lever-Pellet_RI 30_2,24.7,4.2,2.2
135,mCherry,1,SF_Lever-Pellet_CRF,0.4,7.6,12.3
135,mCherry,2,SF_Lever-Pellet_RI 15,5.6,9.9,3.1
135,mCherry,3,SF_Lever-Pellet_RI 30,12.3,5.6,2.2
135,mCherry,4,SF_Lever-Pellet_RI 30_2,18.3,6.5,1.7
136,hM4D,1,SF_Lever-Pellet_CRF,0.4,5.0,10.1
136,hM4D,2,SF_Lever-Pellet_RI 15,3.7,3.4,3.7
136,hM4D,3,SF_Lever-Pellet_RI 30,9.9,3.9,2.6
136,hM4D,4,SF_Lever-Pellet_RI 30_2,13.4,4.1,1.6
137,mCherry,1,SF_Lever-Pellet_CRF,0.3,8.6,11.4
137,mCherry,2,SF_Lever-Pellet_RI 15,7.4,4.9,2.5
137,mCherry,3,SF_Lever-Pellet_RI 30,5.2,2.6,1.5
137,mCherry,4,SF_Lever-Pellet_RI 30_2,18.6,6.1,1.5
138,hM4D,1,SF_Lever-Pellet_CRF,2.1,5.7,1.9
138,hM4D,2,SF_Lever-Pellet_RI 15,10.9,6.4,1.7
138,hM4D,3,SF_Lever-Pellet_RI 30,7.1,3.8,1.7
138,hM4D,4,SF_Lever-Pellet_RI 30_2,4.9,2.4,1.2
139,mCherry,1,SF_Lever-Pellet_CRF,0.7,8.4,7.9
139,mCherry,2,SF_Lever-Pellet_RI 15,5.4,8.3,1.9
139,mCherry,3,SF_Lever-Pellet_RI 30,14.4,6.2,3.1
139,mCherry,4,SF_Lever-Pellet_RI 30_2,26.4,8.8,1.2
140,hM4D,1,SF_Lever-Pellet_CRF,1.2,20.2,2.8
140,hM4D,2,SF_Lever-Pellet_RI 15,7.2,7.8,1.8
140,hM4D,3,SF_Lever-Pellet_RI 30,14.3,9.4,1.6
140,hM4D,4,SF_Lever-Pellet_RI 30_2,18.1,9.9,1.4
141,mCherry,1,SF_Lever-Pellet_CRF,0.7,13.0,2.0
141,mCherry,2,SF_Lever-Pellet_RI 15,10.3,10.7,1.2
141,mCherry,3,SF_Lever-Pellet_RI 30,16.9,12.3,0.7
141,mCherry,4,SF_Lever-Pellet_RI 30_2,17.9,11.7,0.5
142,hM4D,1,SF_Lever-Pellet_CRF,1.1,13.1,5.8
142,hM4D,2,SF_Lever-Pellet_RI 15,11.5,13.5,1.8
142,hM4D,3,SF_Lever-Pellet_RI 30,14.0,7.6,1.1
142,hM4D,4,SF_Lever-Pellet_RI 30_2,7.0,14.9,0.6
