animal,type,exp,protocol,lever_min,mag_min,collect_time
56,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,18.3,2.2
56,yoked,2,SF_Lever-Pellet_Yoked_2,0.1,18.3,2.1
56,yoked,3,SF_Lever-Pellet_Yoked_3,0.1,18.3,2.4
56,yoked,4,SF_Lever-Pellet_Yoked_3,0.1,18.3,2.4
63,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,18.3,2.7
63,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,18.3,4.7
63,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,22.6,1.4
63,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,21.0,1.7
64,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,7.4,2.8
64,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,7.4,2.8
64,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,7.4,2.8
64,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,7.4,2.8
65,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,17.1,5.8
65,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,43.4,2.1
65,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,40.7,1.7
65,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,23.9,2.0
66,trained,1,SF_Lever-Pellet_CRF,1.1,7.1,9.8
66,trained,2,SF_Lever-Pellet_RI 15,4.8,9.2,1.9
66,trained,3,SF_Lever-Pellet_RI 30,21.0,22.3,1.1
66,trained,4,SF_Lever-Pellet_RI 30_2,17.8,20.7,1.2
67,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,2.6,8.9
67,yoked,2,SF_Lever-Pellet_Yoked_2,0.1,9.2,3.8
67,yoked,3,SF_Lever-Pellet_Yoked_3,0.1,3.9,3.7
67,yoked,4,SF_Lever-Pellet_Yoked_4,0.1,14.4,1.8
68,trained,1,SF_Lever-Pellet_CRF,1.6,4.7,4.9
68,trained,2,SF_Lever-Pellet_RI 15,10.1,14.2,2.0
68,trained,3,SF_Lever-Pellet_RI 30,15.9,11.8,1.3
68,trained,4,SF_Lever-Pellet_RI 30_2,15.4,12.5,1.0
69,trained,1,SF_Lever-Pellet_CRF,0.8,7.4,2.7
69,trained,2,SF_Lever-Pellet_RI 15,26.4,17.3,1.5
69,trained,3,SF_Lever-Pellet_RI 30,37.3,13.7,1.1
69,trained,4,SF_Lever-Pellet_RI 30_2,46.0,7.5,1.3
83,trained,1,SF_Lever-Pellet_CRF,0.8,2.8,8
83,trained,2,SF_Lever-Pellet_RI 15,13.8,2.4,2.6
83,trained,3,SF_Lever-Pellet_RI 30,22.9,3.9,4.4
83,trained,4,SF_Lever-Pellet_RI 30_2,25.0,2.4,2.9
84,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,27.2,2.2
84,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,27.2,2.2
84,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,28.2,2.6
84,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,15.3,2.1
86,yoked,1,SF_Lever-Pellet_Yoked_1,0.2,6.3,5
86,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,20.1,2.9
86,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,17.5,3.9
86,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,14.2,2.6
87,trained,1,SF_Lever-Pellet_CRF,0.7,4.3,2.9
87,trained,2,SF_Lever-Pellet_RI 15,7.9,5.0,2.0
87,trained,3,SF_Lever-Pellet_RI 30,14.0,4.9,1.6
87,trained,4,SF_Lever-Pellet_RI 30_2,20.7,5.6,1.1
88,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,11.0,7.2
88,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,11.0,7.2
88,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,10.5,14.5
88,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,18.4,10.0
89,trained,1,SF_Lever-Pellet_CRF,0.6,2.8,2.6
89,trained,2,SF_Lever-Pellet_RI 15,13.2,7.7,1.3
89,trained,3,SF_Lever-Pellet_RI 30,15.8,3.4,1.4
89,trained,4,SF_Lever-Pellet_RI 30_2,22.2,3.1,1.1
90,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,5.3,13.0
90,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,20.5,3.9
90,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,9.3,2.5
90,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,7.9,2.0
91,trained,1,SF_Lever-Pellet_CRF,1.4,3.6,3.9
91,trained,2,SF_Lever-Pellet_RI 15,5.9,2.7,3.2
91,trained,3,SF_Lever-Pellet_RI 30,11.9,3.3,3.1
91,trained,4,SF_Lever-Pellet_RI 30_2,12.7,3.2,2.3
92,yoked,1,SF_Lever-Pellet_Yoked_1,0.0,22.6,3.3
92,yoked,2,SF_Lever-Pellet_Yoked_2,0.0,22.6,3.3
92,yoked,3,SF_Lever-Pellet_Yoked_3,0.0,40.7,1.5
92,yoked,4,SF_Lever-Pellet_Yoked_4,0.0,40.4,1.8
93,trained,1,SF_Lever-Pellet_CRF,1.0,6.0,5.0
93,trained,2,SF_Lever-Pellet_RI 15,10.5,4.8,2.0
93,trained,3,SF_Lever-Pellet_RI 30,20.6,5.5,1.1
